SL.NO,Criterion,Max Features,Splitter,Max Depth,Min Split,Min Leaf,CCP Alpha,Train R²,Test R²,MAE,RMSE,Train Time(ms),Predict Time(ms),Tree Depth,Leaf Nodes,Overfitting,Rank
7,absolute_error,None,best,None,2,1,0,1,0.933,5746.77,8044.15,0,0,8,35,Moderate,1
9,squared_error,None,best,5,2,1,0,0.9991,0.922,7006.74,8675.94,8.21,0,5,26,Moderate,2
1,squared_error,None,best,None,2,1,0,1,0.9087,7474.49,9386,8.06,0,7,35,Moderate,3
10,squared_error,None,best,8,2,1,0,1,0.9087,7474.49,9386,15.62,14.58,7,35,Moderate,4
11,squared_error,None,best,5,5,2,0,0.985,0.9,8030.9,9823.87,0,0,4,13,Moderate,5
8,friedman_mse,None,best,None,2,1,0,1,0.893,8537.89,10162.24,4.89,8.09,7,35,High,6
12,squared_error,sqrt,best,5,5,2,0,0.9557,0.7156,11844.26,16569.71,9.62,15.83,5,12,High,7
4,squared_error,sqrt,random,None,2,1,0,1,0.7055,10286.67,16859.95,10.71,0,11,35,High,8
6,squared_error,log2,random,None,2,1,0,1,0.7055,10286.67,16859.95,17.12,0,11,35,High,9
2,squared_error,None,random,None,2,1,0,1,0.6594,15188.03,18131.76,8.49,8.08,9,35,High,10
15,absolute_error,log2,best,6,8,3,0.01,0.7307,0.645,12592.09,18510.65,1.69,2.08,3,6,Moderate,11
14,friedman_mse,sqrt,best,6,8,3,0.001,0.8249,0.443,16820.28,23187.07,17.28,1.14,5,7,High,12
3,squared_error,sqrt,best,None,2,1,0,1,0.4218,12258.66,23623.69,0,0,9,35,High,13
5,squared_error,log2,best,None,2,1,0,1,0.4218,12258.66,23623.69,0,0,9,35,High,14
13,squared_error,sqrt,random,5,5,2,0.001,0.6839,0.0036,23802.74,31012.99,0,0,5,7,High,15
